timeSec, trackE, trackF, trackG, P0_mode, P0_rg, P0_az, P0_el, P1_mode, P1_rg, P1_az, P1_el, P2_mode, P2_rg, P2_az, P2_el, P3_mode, P3_rg, P3_az, P3_el
1.8,3135817.4282608456,-5452548.412037539,1111908.801349936,0,NaN,158.1345053487693,83.84733373928688,0,NaN,-92.6412081582398,24.789471738442458,0,NaN,-45.522242256619066,18.200117560357576,0,NaN,1.0885018870193086,25.21833259329548,
1.82,3135821.294620346,-5452546.18878222,1111908.801349936,0,NaN,157.90895109906702,83.84254070846933,0,NaN,-92.63759134352271,24.791347739157995,0,NaN,-45.52510539827027,18.201483257853184,0,NaN,1.0987647743904927,25.21382672122065,
1.84,3135825.160979846,-5452543.965526901,1111908.801349936,0,NaN,157.69211662627893,83.82852834066037,0,NaN,-92.64128883534711,24.79275077872178,0,NaN,-45.50947723729594,18.198792892224777,0,NaN,1.108638656150632,25.217300647944153,
1.86,3135829.0273393462,-5452541.742271582,1111908.801349936,0,NaN,157.47153987874697,83.8151347076036,0,NaN,-92.64259025974393,24.794951410776687,0,NaN,-45.50886969983428,18.198631410463012,0,NaN,1.125976539454861,25.216869906782524,
1.8800000000000001,3135832.8936988465,-5452539.519016262,1111908.801349936,0,NaN,157.2564525371424,83.8134194041579,0,NaN,-92.64102824434163,24.80023505125283,0,NaN,-45.49940198023557,18.205629547321482,0,NaN,1.132773907336212,25.222336182602874,
1.9000000000000001,3135836.7600583467,-5452537.295760943,1111908.801349936,0,NaN,157.0406402630234,83.80324501275065,0,NaN,-92.6404787427147,24.808685965689723,0,NaN,-45.4945805876474,18.1991223411605,0,NaN,1.1434218315279894,25.21824401807654,
1.92,3135840.626417847,-5452535.072505624,1111908.801349936,0,NaN,156.81755453866057,83.7892588785008,0,NaN,-92.63972848584152,24.80860856830357,0,NaN,-45.48455582276139,18.208818364752712,0,NaN,1.1611508063503007,25.214895857573282,
1.94,3135844.492777347,-5452532.8492503045,1111908.801349936,0,NaN,156.6070774718438,83.78484639291179,0,NaN,-92.64525440825365,24.818201781428098,0,NaN,-45.48538877255873,18.202062570659695,0,NaN,1.1792417063503873,25.21551441465413,
1.96,3135848.359136848,-5452530.625994985,1111908.801349936,0,NaN,156.3954581204833,83.77340055788554,0,NaN,-92.64500954221668,24.817570452953746,0,NaN,-45.48094380644003,18.218497991139756,0,NaN,1.1817652252276567,25.213840167414563,
1.98,3135852.225496348,-5452528.4027396655,1111908.801349936,0,NaN,156.17295806688887,83.75844906033893,0,NaN,-92.64096377307506,24.825082940549116,0,NaN,-45.47466932058426,18.213567860361586,0,NaN,1.1973297049150375,25.212655597431723,
2.0,3135856.091855848,-5452526.179484346,1111908.801349936,0,NaN,155.96376385638828,83.74741639875357,0,NaN,-92.65566207670567,24.82488348956284,0,NaN,-45.47135663048611,18.21232952945277,0,NaN,1.2123556468768835,25.21377951257696,
2.02,3135859.9582153484,-5452523.956229027,1111908.801349936,0,NaN,155.74754144496652,83.75252093693187,0,NaN,-92.64386228633542,24.837802933915906,0,NaN,-45.46373179088472,18.215611365983715,0,NaN,1.2177382529669218,25.211842309199344,
2.04,3135863.8245748486,-5452521.732973708,1111908.801349936,0,NaN,155.5354495833939,83.73158699698419,0,NaN,-92.64230163279183,24.83907781354886,0,NaN,-45.45779502108556,18.215791729780822,0,NaN,1.232707585322135,25.22228157857643,
2.06,3135867.690934349,-5452519.509718388,1111908.801349936,0,NaN,155.3300321857328,83.7176593422325,0,NaN,-92.64687418427025,24.843903487203175,0,NaN,-45.444605754246396,18.20851065453376,0,NaN,1.243356215737386,25.220074651345488,
