time, NLat, ELon, eHgt
23.34, -60.082356798778896, 10.109026183626472, 10000.37234018743
23.36, -60.082397427539505, 10.109026185799912, 10000.370989689138
23.38, -60.08243805630012, 10.109026187968333, 10000.36964230286
23.400000000000002, -60.082478685060764, 10.10902619013175, 10000.368298031157
23.42, -60.08251931382143, 10.109026192290147, 10000.36695687368
23.44, -60.082559942582094, 10.109026194443556, 10000.365618828684
23.46, -60.082600571342795, 10.109026196591927, 10000.364283896983
23.48, -60.08264120010351, 10.109026198735311, 10000.362952079973
23.5, -60.082681828864224, 10.109026200873663, 10000.361623374862
23.52, -60.08272245762498, 10.109026203007001, 10000.360297784791
23.54, -60.08276308638573, 10.109026205135375, 10000.35897530592
23.56, -60.08280371514652, 10.109026207258708, 10000.357655943022
23.580000000000002, -60.08284434390732, 10.109026209377, 10000.356339692953
23.6, -60.08288497266813, 10.109026211490324, 10000.35502655711
23.62, -60.08292560142897, 10.109026213598607, 10000.35371653433
23.64, -60.08296623018981, 10.109026215701908, 10000.352409623796
23.66, -60.083006858950675, 10.10902621780018, 10000.35110582842
23.68, -60.08304748771156, 10.109026219893442, 10000.349805146107
23.7, -60.08308811647246, 10.109026221981697, 10000.348507576273
23.72, -60.08312874523339, 10.109026224064937, 10000.347213120665
23.740000000000002, -60.08316937399431, 10.10902622614317, 10000.345921778353
23.76, -60.083210002755266, 10.109026228216393, 10000.344633549917
23.78, -60.08325063151623, 10.109026230284616, 10000.343348436174
23.8, -60.083291260277214, 10.109026232347814, 10000.34206643363
23.82, -60.08333188903822, 10.109026234405983, 10000.340787545894
23.84, -60.08337251779924, 10.109026236459183, 10000.339511770639
23.86, -60.083413146560275, 10.109026238507344, 10000.338239110308
23.88, -60.08345377532133, 10.109026240550499, 10000.336969563155
23.900000000000002, -60.08349440408239, 10.10902624258865, 10000.335703129065
23.92, -60.08353503284348, 10.10902624462179, 10000.334439808968
23.94, -60.08357566160458, 10.109026246649906, 10000.333179601934
23.96, -60.083616290365704, 10.109026248673027, 10000.331922508194
23.98, -60.08365691912684, 10.109026250691127, 10000.330668527517
24.0, -60.08369754788799, 10.109026252704226, 10000.329417662113
24.02, -60.08373817664915, 10.10902625471231, 10000.328169909539
24.04, -60.08377880541034, 10.10902625671537, 10000.326925269677
24.060000000000002, -60.08381943417153, 10.109026258713442, 10000.325683742645
24.080000000000002, -60.08386006293274, 10.109026260706496, 10000.324445332051
24.1, -60.08390069169399, 10.109026262694533, 10000.323210032075
24.12, -60.08394132045523, 10.10902626467756, 10000.321977847721
24.14, -60.083981949216486, 10.109026266655565, 10000.320748775383
24.16, -60.08402257797778, 10.109026268628579, 10000.31952281692
24.18, -60.08406320673908, 10.109026270596582, 10000.318299973267
24.2, -60.08410383550039, 10.109026272559555, 10000.317080241162
24.22, -60.08414446426173, 10.10902627451753, 10000.31586362375
24.240000000000002, -60.084185093023066, 10.109026276470482, 10000.3146501187
24.26, -60.08422572178442, 10.109026278418444, 10000.313439729041
24.28, -60.0842663505458, 10.109026280361398, 10000.312232451863
24.3, -60.08430697930719, 10.109026282299325, 10000.311028287397
24.32, -60.0843476080686, 10.109026284232256, 10000.30982723739
24.34, -60.08438823683003, 10.109026286160157, 10000.308629301842
24.36, -60.08442886559148, 10.109026288083049, 10000.307434477843
24.38, -60.08446949435293, 10.109026290000955, 10000.306242767489
24.400000000000002, -60.0845101231144, 10.109026291913823, 10000.30505417171
24.42, -60.08455075187588, 10.109026293821683, 10000.303868689458
24.44, -60.084591380637384, 10.109026295724558, 10000.302686320269
24.46, -60.0846320093989, 10.109026297622401, 10000.301507065073
24.48, -60.08467263816044, 10.109026299515234, 10000.300330921775
24.5, -60.08471326692198, 10.109026301403047, 10000.299157894333
24.52, -60.084753895683555, 10.109026303285862, 10000.297987978905
24.54, -60.08479452444513, 10.109026305163685, 10000.29682117782
24.560000000000002, -60.08483515320674, 10.109026307036464, 10000.29565749073
24.580000000000002, -60.084875781968336, 10.10902630890425, 10000.294496914838
24.6, -60.08491641072997, 10.109026310767, 10000.293339454336
24.62, -60.08495703949159, 10.109026312624763, 10000.292185106315
24.64, -60.08499766825326, 10.109026314477523, 10000.291033873102
24.66, -60.08503829701493, 10.109026316325261, 10000.289885752136
24.68, -60.08507892577662, 10.109026318167974, 10000.288740745396
24.7, -60.085119554538316, 10.10902632000569, 10000.287598852767
24.72, -60.08516018330004, 10.10902632183841, 10000.286460072733
24.740000000000002, -60.085200812061764, 10.109026323666106, 10000.285324404831
